Name,PitchType,Pitches,Velo,MaxVelo,SpinRate,IVB,HB,RelHeight,Extension,StuffPlus,AVGExitVelo,xwOBA,RunValue,CS,SwStr,CSW,RV100
Hayden Wesneski,Sweeper,524,81.975,87.4,2603.887,0.319,17.437,5.482,6.728,100.331,77.816,0.354,-7.408,23.28,12.79,36.07,-1.414
Hobie Harris,Cutter,54,88.05,90.2,2281.222,6.664,1.553,6.306,6.106,92.471,79.03,0.214,-1.708,22.22,3.7,25.92,-3.163
Hobie Harris,FourSeam,121,94.098,96.0,2127.165,15.889,-9.791,6.472,6.155,77.583,84.934,0.495,2.641,17.36,5.79,23.15,2.183
Hobie Harris,Splitter,175,84.646,87.5,1373.451,-0.197,-10.834,6.19,6.169,122.357,81.8,0.402,1.098,14.86,12.0,26.86,0.627
Hoby Milner,Changeup,172,81.128,82.7,1664.11,2.217,15.679,4.087,6.816,145.941,79.908,0.309,-1.675,13.37,11.63,25.0,-0.974
Hoby Milner,Curveball,335,79.645,82.2,1885.719,-0.491,-14.063,4.295,6.854,189.148,78.614,0.242,-7.218,30.75,6.87,37.62,-2.155
Hoby Milner,FourSeam,196,88.985,91.3,1986.061,6.572,16.299,4.345,6.815,167.131,81.485,0.316,-2.473,13.78,9.69,23.47,-1.262
Hoby Milner,Sinker,297,88.174,90.9,1937.051,-0.532,18.456,4.287,6.827,148.157,79.373,0.383,0.435,22.56,6.06,28.62,0.146
Huascar Brazoban,Changeup,285,89.286,92.8,1839.225,1.36,-15.464,5.743,5.989,113.957,77.12,0.241,-4.934,7.72,20.7,28.42,-1.731
Huascar Brazoban,Cutter,328,87.39,91.4,2369.027,6.296,-1.799,5.753,5.867,106.294,80.019,0.324,1.619,14.94,16.16,31.1,0.494
Huascar Brazoban,FourSeam,176,96.616,99.0,2218.608,14.011,-10.387,5.698,6.032,103.005,84.58,0.383,-2.251,18.18,8.52,26.7,-1.279
Huascar Brazoban,Sinker,214,95.99,99.0,2260.453,7.383,-17.516,5.731,5.995,116.722,79.236,0.357,3.781,25.23,7.01,32.24,1.767
Hunter Greene,Changeup,109,91.126,94.5,1964.514,8.899,-12.733,5.924,6.344,100.412,84.112,0.422,1.791,11.01,6.42,17.43,1.643
Hunter Greene,FourSeam,1112,98.334,102.1,2343.688,15.403,-11.62,6.008,6.334,123.176,83.751,0.408,12.775,14.21,11.24,25.45,1.149
Hunter Greene,Slider,833,87.284,92.1,2340.534,2.756,4.511,5.884,6.314,109.423,81.339,0.32,-1.491,15.61,17.53,33.14,-0.179
Hunter Harvey,Curveball,71,83.087,86.7,2051.972,-11.427,7.339,5.77,6.134,112.562,83.586,0.286,-1.623,26.76,8.45,35.21,-2.286
