Name,PitchType,Pitches,Velo,MaxVelo,SpinRate,IVB,HB,RelHeight,Extension,StuffPlus,AVGExitVelo,xwOBA,RunValue,CS,SwStr,CSW,RV100
Reese Olson,Curveball,98,78.835,80.6,2800.602,-15.222,11.59,6.072,5.807,90.704,80.004,0.424,0.071,14.29,13.27,27.56,0.072
Reese Olson,FourSeam,488,94.779,97.2,2280.066,14.56,-9.549,5.961,5.983,104.607,86.243,0.477,-2.331,19.47,5.12,24.59,-0.478
Reese Olson,Sinker,339,94.75,96.8,2133.487,9.588,-15.778,5.974,5.972,116.404,86.145,0.33,-2.222,23.89,4.72,28.61,-0.655
Reese Olson,Slider,523,84.808,88.8,2987.061,-2.947,7.795,5.924,5.896,108.262,84.088,0.415,0.89,16.06,19.89,35.95,0.17
Reid Detmers,Changeup,140,84.868,87.9,1493.179,8.017,12.701,6.053,5.792,87.865,83.981,0.372,1.907,8.57,10.0,18.57,1.362
Reid Detmers,Curveball,505,74.715,79.4,2414.091,-14.818,-11.439,6.26,5.634,78.805,76.257,0.266,-4.473,24.75,9.7,34.45,-0.886
Reid Detmers,FourSeam,1118,94.315,97.7,2094.619,15.724,10.983,5.993,6.013,86.215,84.09,0.436,9.737,15.92,8.94,24.86,0.871
Reid Detmers,Slider,800,88.901,93.8,2078.474,2.933,-1.289,6.055,5.912,102.586,83.381,0.39,-2.552,9.62,18.75,28.37,-0.319
Reynaldo López,Changeup,64,88.458,92.6,1687.5,10.478,-12.718,5.859,6.512,99.634,76.313,0.13,-1.486,10.94,10.94,21.88,-2.322
Reynaldo López,FourSeam,775,98.197,101.2,2189.4,16.553,-8.853,5.81,6.486,134.516,82.567,0.384,-6.311,15.61,13.03,28.64,-0.814
Reynaldo López,Slider,352,87.921,92.1,2363.795,1.232,5.786,5.742,6.463,117.784,81.735,0.417,0.548,6.53,18.47,25.0,0.156
Richard Bleier,Cutter,178,86.027,88.2,1986.017,6.133,-1.201,5.89,6.716,97.262,76.222,0.271,-0.706,10.67,7.87,18.54,-0.397
Richard Bleier,Sinker,191,87.963,90.1,2003.691,2.571,14.695,5.768,6.745,157.198,84.867,0.37,3.311,25.13,7.33,32.46,1.734
Richard Lovelady,FourSeam,117,90.811,93.5,2360.085,14.463,7.512,5.414,7.398,129.174,80.011,0.399,-1.702,13.68,11.97,25.65,-1.455
