Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Travis d'Arnaud,ATL,C,35,27,78,13,21,8,0,5,16,0,0,7,22,0,1,2,.269,.341,.564,.905
Connor Wong,BOS,C,27,23,78,9,27,3,0,5,14,0,1,2,19,0,1,2,.346,.373,.577,.950
Nick Gordon,MIA,OF,28,30,78,6,13,2,0,3,12,1,0,3,17,0,1,0,.167,.195,.308,.503
Cavan Biggio,TOR,2B,29,29,78,7,16,4,0,1,6,1,0,9,30,0,0,5,.205,.326,.295,.621
Wilmer Flores,SF,1B,32,29,77,7,18,4,0,1,12,0,0,10,10,0,2,1,.234,.322,.325,.647
Nick Martini,CIN,OF,33,28,76,13,14,1,1,3,15,0,1,2,21,0,3,1,.184,.207,.342,.549
Anthony Rendon,LAA,3B,33,19,75,9,20,3,0,0,3,3,1,6,15,0,1,1,.267,.325,.307,.632
Ryan O'Hearn,BAL,1B,30,23,75,13,23,3,1,5,11,0,0,9,7,0,0,0,.307,.381,.573,.954
Brent Rooker,OAK,OF,29,22,75,11,18,3,0,8,20,1,0,9,31,0,0,1,.240,.329,.600,.929
Eloy Jimenez,CWS,DH,27,20,74,9,17,1,0,3,10,1,0,7,17,0,1,0,.230,.293,.365,.658
Joey Gallo,WSH,OF,30,23,74,8,9,5,0,3,5,1,0,15,43,0,0,2,.122,.286,.311,.597
Lars Nootbaar,STL,OF,26,20,74,5,12,5,0,1,7,2,0,10,17,1,0,0,.162,.262,.270,.532
Santiago Espinal,CIN,2B,29,26,74,5,13,2,0,1,12,4,0,7,14,2,4,0,.176,.235,.243,.478
Richie Palacios,TB,OF,26,27,74,15,23,3,0,3,6,4,0,15,22,0,0,1,.311,.433,.473,.906
Jacob Young,WSH,OF,24,25,74,17,23,5,0,0,7,12,1,2,12,2,0,3,.311,.354,.378,.732
Tyrone Taylor,NYM,OF,30,25,73,9,21,4,0,2,13,3,0,3,15,1,1,0,.288,.312,.425,.737
Eddie Rosario,WSH,OF,32,25,73,5,7,2,0,1,3,3,1,5,21,1,1,0,.096,.152,.164,.316
Emmanuel Rivera,MIA,3B,27,26,73,5,15,2,0,0,4,1,0,7,18,0,1,2,.205,.289,.233,.522
Chas McCormick,HOU,OF,29,21,72,6,17,3,0,0,8,2,0,9,23,0,1,1,.236,.325,.278,.603
Jarred Kelenic,ATL,OF,24,25,72,8,20,4,0,0,4,0,1,6,26,0,0,0,.278,.333,.333,.666
Davis Schneider,TOR,2B,25,27,71,10,18,5,0,3,12,0,0,8,22,0,0,2,.254,.346,.451,.797
Josh Rojas,SEA,2B,29,25,71,11,24,3,1,3,6,2,1,10,12,0,0,0,.338,.420,.535,.955
Tyler Stephenson,CIN,C,27,25,71,12,15,3,0,3,10,1,0,11,18,0,1,1,.211,.321,.380,.701
Mauricio Dubon,HOU,OF,29,26,71,7,20,6,0,1,14,1,0,2,5,0,1,1,.282,.307,.408,.715
Jose Abreu,HOU,1B,37,22,71,6,7,1,0,0,3,0,0,3,18,0,1,2,.099,.156,.113,.269
Enrique Hernandez,LAD,SS,32,25,70,5,16,1,0,1,6,0,0,6,12,0,1,0,.229,.286,.286,.572
Joc Pederson,ARI,OF,32,29,70,12,21,7,0,2,5,0,0,13,14,1,2,4,.300,.427,.486,.913
Edward Olivares,PIT,OF,28,21,70,9,14,1,0,3,8,0,0,6,15,0,0,1,.200,.273,.343,.616
Jake McCarthy,ARI,OF,26,27,70,8,20,3,1,0,7,3,1,7,17,2,1,0,.286,.346,.357,.703
Nick Allen,OAK,SS,25,28,70,4,12,2,0,1,3,0,0,5,19,2,0,0,.171,.227,.243,.470
Parker Meadows,DET,OF,24,30,70,9,7,1,1,2,3,3,1,10,30,0,0,1,.100,.222,.229,.451
Blaze Alexander,ARI,SS,24,25,70,12,20,5,0,3,13,1,1,10,18,0,0,0,.286,.375,.486,.861
Mickey Moniak,LAA,OF,25,26,69,6,11,1,0,2,7,0,0,5,22,0,0,0,.159,.216,.261,.477
Oliver Dunn,MIL,2B,26,26,69,7,16,1,2,1,6,2,0,3,28,0,0,1,.232,.274,.348,.622
LaMonte Wade,SF,OF,30,32,69,11,23,4,0,1,8,1,1,17,24,0,2,1,.333,.461,.435,.896
Adam Frazier,KC,2B,32,27,68,6,12,2,0,0,5,1,0,9,14,0,0,3,.176,.300,.206,.506
Henry Davis,PIT,OF,24,23,68,7,11,3,0,0,4,0,0,11,29,0,2,1,.162,.280,.206,.486
Jo Adell,LAA,OF,25,26,68,12,18,3,1,4,11,6,5,4,18,0,1,2,.265,.320,.515,.835
Gabriel Arias,CLE,SS,24,21,68,9,17,4,1,1,8,3,0,1,20,0,0,1,.250,.271,.382,.653
Alejandro Kirk,TOR,C,25,21,67,2,13,1,0,1,10,0,0,9,11,0,2,0,.194,.282,.254,.536
Stuart Fairchild,CIN,OF,28,25,67,7,12,1,0,1,6,5,1,5,17,1,0,1,.179,.247,.239,.486
Dylan Moore,SEA,OF,31,24,67,7,13,3,1,2,6,5,1,10,23,0,1,2,.194,.313,.358,.671
Tyler Wade,SD,3B,29,30,66,11,17,2,0,0,6,5,0,8,16,1,0,1,.258,.347,.288,.635
Jake Bauers,MIL,1B,28,21,66,8,13,5,0,2,13,2,1,5,28,0,0,1,.197,.264,.364,.628
Mike Yastrzemski,SF,OF,33,26,66,8,15,0,0,3,12,0,0,6,22,1,0,1,.227,.301,.364,.665
Miguel Amaya,CHC,C,25,23,66,6,13,2,1,1,10,0,0,6,17,1,2,1,.197,.267,.303,.570
Joey Ortiz,MIL,2B,25,28,66,7,18,4,2,1,8,1,1,13,14,0,1,0,.273,.388,.439,.827
Andy Pages,LAD,OF,23,16,65,14,22,5,0,4,12,0,1,0,15,0,2,3,.338,.357,.600,.957
Austin Martin,MIN,OF,25,24,65,17,15,6,0,1,6,3,0,6,14,0,0,0,.231,.296,.369,.665
