Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Ryder Ryan,PIT,28,9,0,0,0,12.0,8,4,13,5,0,1,0,0,0,3,3.00,1.08
Alex Lange,DET,28,13,0,0,0,12.0,5,1,16,9,0,0,1,2,0,1,0.75,1.17
Andres Munoz,SEA,25,12,0,0,0,12.0,8,3,16,7,1,1,2,5,1,3,2.25,1.25
Tayler Saucedo,SEA,30,12,0,0,0,12.0,7,3,13,4,0,1,0,1,0,1,2.25,0.92
Logan Allen,ARI,26,4,0,0,0,12.0,7,3,6,3,1,0,1,1,0,0,2.25,0.83
Justin Lawrence,COL,29,12,0,0,0,12.0,13,8,13,5,0,1,2,2,1,1,6.00,1.50
Alexis Diaz,CIN,27,12,0,0,0,12.0,9,5,13,6,0,1,1,6,1,0,3.75,1.25
Tanner Rainey,WSH,31,12,0,0,0,12.0,21,12,8,11,3,0,0,0,0,0,9.00,2.67
Shane Bieber,CLE,28,2,2,0,0,12.0,10,0,20,1,0,2,0,0,0,0,0.00,0.92
Tom Cosgrove,SD,27,15,0,0,0,12.0,17,14,13,5,3,0,1,0,0,2,10.50,1.83
David Bednar,PIT,29,14,0,0,0,12.0,14,14,17,4,3,2,2,5,3,0,10.50,1.50
Camilo Doval,SF,26,12,0,0,0,11.2,9,4,15,6,1,2,0,6,0,0,3.09,1.29
Bobby Miller,LAD,25,3,3,0,0,11.2,11,7,18,6,2,1,1,0,0,0,5.40,1.46
Victor Gonzalez,NYY,28,13,0,0,0,11.2,6,3,4,8,1,1,1,2,0,1,2.31,1.20
Tim Mayza,TOR,32,17,0,0,0,11.2,12,8,10,7,2,0,1,0,1,5,6.17,1.63
Ryan Brasier,LAD,36,12,1,0,0,11.2,10,6,12,3,3,0,0,0,2,4,4.63,1.11
Jesse Chavez,ATL,40,8,0,0,0,11.2,9,2,8,5,2,1,1,0,0,0,1.54,1.20
Joel Payamps,MIL,30,13,0,0,0,11.2,7,4,9,2,0,1,1,4,2,4,3.09,0.77
